Run,Sigma,Rho,Adapt_Start,Adapt_stop,Length_run,Seed,ID
7,0.6,0.1,5000,50000,1000000,4,172
8,0.7,0.1,5000,50000,1000000,4,173
9,0.8,0.1,5000,50000,1000000,4,174
10,0.9,0.1,5000,50000,1000000,4,175
11,0.99,0.1,5000,50000,1000000,4,176
12,0.01,0.05,5000,50000,1000000,4,177
13,0.1,0.05,5000,50000,1000000,4,178
14,0.2,0.05,5000,50000,1000000,4,179
15,0.3,0.05,5000,50000,1000000,4,180
16,0.4,0.05,5000,50000,1000000,4,181
17,0.5,0.05,5000,50000,1000000,4,182
18,0.6,0.05,5000,50000,1000000,4,183
19,0.7,0.05,5000,50000,1000000,4,184
20,0.8,0.05,5000,50000,1000000,4,185
21,0.9,0.05,5000,50000,1000000,4,186
22,0.99,0.05,5000,50000,1000000,4,187
23,0.01,0.5,5000,50000,1000000,4,188
24,0.1,0.5,5000,50000,1000000,4,189
25,0.2,0.5,5000,50000,1000000,4,190
26,0.3,0.5,5000,50000,1000000,4,191
27,0.4,0.5,5000,50000,1000000,4,192
28,0.5,0.5,5000,50000,1000000,4,193
29,0.6,0.5,5000,50000,1000000,4,194
30,0.7,0.5,5000,50000,1000000,4,195
31,0.8,0.5,5000,50000,1000000,4,196
32,0.9,0.5,5000,50000,1000000,4,197
33,0.99,0.5,5000,50000,1000000,4,198
34,0.01,0.2,5000,50000,1000000,4,199
35,0.1,0.2,5000,50000,1000000,4,200
36,0.2,0.2,5000,50000,1000000,4,201
37,0.3,0.2,5000,50000,1000000,4,202
38,0.4,0.2,5000,50000,1000000,4,203
39,0.5,0.2,5000,50000,1000000,4,204
40,0.6,0.2,5000,50000,1000000,4,205
41,0.7,0.2,5000,50000,1000000,4,206
42,0.8,0.2,5000,50000,1000000,4,207
43,0.9,0.2,5000,50000,1000000,4,208
44,0.99,0.2,5000,50000,1000000,4,209
45,0.01,0.025,5000,50000,1000000,4,210
46,0.1,0.025,5000,50000,1000000,4,211
47,0.2,0.025,5000,50000,1000000,4,212
48,0.3,0.025,5000,50000,1000000,4,213
49,0.4,0.025,5000,50000,1000000,4,214
50,0.5,0.025,5000,50000,1000000,4,215
51,0.6,0.025,5000,50000,1000000,4,216
52,0.7,0.025,5000,50000,1000000,4,217
53,0.8,0.025,5000,50000,1000000,4,218
54,0.9,0.025,5000,50000,1000000,4,219
55,0.99,0.025,5000,50000,1000000,4,220
1,0.01,0.1,5000,50000,1000000,5,221
2,0.1,0.1,5000,50000,1000000,5,222
3,0.2,0.1,5000,50000,1000000,5,223
4,0.3,0.1,5000,50000,1000000,5,224
5,0.4,0.1,5000,50000,1000000,5,225
6,0.5,0.1,5000,50000,1000000,5,226
7,0.6,0.1,5000,50000,1000000,5,227
8,0.7,0.1,5000,50000,1000000,5,228
9,0.8,0.1,5000,50000,1000000,5,229
10,0.9,0.1,5000,50000,1000000,5,230
11,0.99,0.1,5000,50000,1000000,5,231
12,0.01,0.05,5000,50000,1000000,5,232
13,0.1,0.05,5000,50000,1000000,5,233
14,0.2,0.05,5000,50000,1000000,5,234
15,0.3,0.05,5000,50000,1000000,5,235
16,0.4,0.05,5000,50000,1000000,5,236
17,0.5,0.05,5000,50000,1000000,5,237
18,0.6,0.05,5000,50000,1000000,5,238
19,0.7,0.05,5000,50000,1000000,5,239
20,0.8,0.05,5000,50000,1000000,5,240
